player,minutes_played,goals,xg,assists,xa,passes,prog_passes,goals_p90,xg_p90,assists_p90,xa_p90,team
Gary O''Neil,2436,0.0,0.685513635,0.0,0.0,977.0,255.0,0.0,0.0253268584359605,0.0,0.0,Norwich City
Mile Jedinak,2429,0.0,0.904806273,0.0,0.0,828.0,153.0,0.0,0.0335251397982708,0.0,0.0,Crystal Palace
Jonathan Walters,2402,5.0,5.530523288,2.0,0.0,537.0,55.0,0.1873438800999167,0.2072219383513738,0.0749375520399667,0.0,Stoke City
Nacer Chadli,2381,3.0,2.5992438728,2.0,0.0,388.0,33.0,0.1133977320453591,0.0982494534027719,0.0755984880302394,0.0,Tottenham Hotspur
Angelo Obinze Ogbonna,2380,0.0,0.514565924,0.0,0.0,954.0,217.0,0.0,0.0194583752773109,0.0,0.0,West Ham United
James McArthur,2372,2.0,1.1789362576,2.0,0.0,1067.0,183.0,0.0758853288364249,0.0447319827925801,0.0758853288364249,0.0,Crystal Palace
Joshua King,2370,6.0,5.83628998,2.0,0.0,457.0,27.0,0.2278481012658227,0.2216312650632911,0.0759493670886076,0.0,AFC Bournemouth
Sung-Yeung Ki,2367,2.0,2.258054574,1.0,0.0,1189.0,236.0,0.0760456273764258,0.085857588365019,0.0380228136882129,0.0,Swansea City
Wes Hoolahan,2362,4.0,3.5316950506,7.0,0.0,1180.0,148.0,0.1524132091447925,0.1345692440956816,0.2667231160033869,0.0,Norwich City
Andy Carroll,2360,9.0,6.284561378,1.0,0.0,433.0,40.0,0.3432203389830509,0.239665476279661,0.0381355932203389,0.0,West Ham United
John O''Shea,2353,0.0,0.436195236,0.0,0.0,594.0,176.0,0.0,0.0166840506757331,0.0,0.0,Sunderland
Jordon Ibe,2347,1.0,1.2689323965,1.0,0.0,559.0,61.0,0.0383468257349808,0.0486595294780571,0.0383468257349808,0.0,Liverpool
Vurnon Anita,2346,1.0,0.285804582,3.0,0.0,1134.0,196.0,0.0383631713554987,0.0109643701534526,0.1150895140664961,0.0,Newcastle United
Theo Walcott,2339,5.0,6.700536241,2.0,0.0,333.0,28.0,0.1923899102180419,0.2578231131637452,0.0769559640872167,0.0,Arsenal
